parent_category,org_code,case_count
1,DOTEL,207
2,DOTEL,1420
3,DOTEL,48
4,DOTEL,276
5,DOTEL,150
6,DOTEL,377
7,DOTEL,36
8,DOTEL,89
9,DOTEL,27
61,DPOST,1173
63,DPOST,9
66,DPOST,67
67,DPOST,140
68,DPOST,1
69,DPOST,20
70,DPOST,5
71,DPOST,3
72,DPOST,5
73,DPOST,3
75,DPOST,1198
76,DPOST,55
94,DPOST,8
95,DPOST,6
96,DPOST,3
97,DPOST,93
98,DPOST,7
99,DPOST,7
100,DPOST,4
101,DPOST,1
102,DPOST,1
103,DPOST,16
104,DPOST,15
188,DPOST,33
189,DPOST,7
251,DEABD,2609
252,DEABD,53
253,DEABD,525
254,DEABD,65
255,DEABD,75
257,DEABD,20
258,DEABD,51
259,DEABD,48
260,DEABD,460
261,DEABD,150
262,DEABD,110
269,DEABD,22
270,DEABD,8
273,DEABD,87
274,DEABD,3
275,DEABD,4
298,DEABD,140
353,DEAID,282
355,DEAID,114
357,DEAID,17
358,DEAID,26
359,DEAID,298
361,DEAID,16
362,DEAID,18
364,DEAID,7
398,DOSEL,114
399,DOSEL,36
407,DOSEL,1
409,DOSEL,4
410,DOSEL,10
411,DOSEL,5
412,DOSEL,1
426,DOSEL,4
427,DOSEL,12
428,DOSEL,1
429,DOSEL,3
430,DOSEL,2
431,DOSEL,6
432,DOSEL,2
433,DOSEL,10
491,DOSEL,5
492,DOSEL,1
493,DOSEL,11
515,DOSEL,5
516,DOSEL,4
517,DOSEL,18
518,DOSEL,2
519,DOSEL,8
601,DOSEL,7
617,MORTH,36
619,MORTH,190
620,MORTH,44
621,MORTH,77
622,MORTH,180
623,MORTH,181
624,MORTH,116
656,DHLTH,198
657,DHLTH,104
658,DHLTH,12
659,DHLTH,33
660,DHLTH,65
661,DHLTH,11
662,DHLTH,35
663,DHLTH,79
664,DHLTH,51
665,DHLTH,9
666,DHLTH,47
667,DHLTH,19
670,DHLTH,4
671,DHLTH,3
672,DHLTH,3
673,DHLTH,2
674,DHLTH,1
675,DHLTH,2
678,DHLTH,8
681,DHLTH,2
682,DHLTH,1
684,DHLTH,5
